"Type","Incentive","Game","Description","Amount","Goal"
"1 - Bid option","I&#39;ll make a Man out of you","Kingdom Hearts HD 1.5 ReMIX","","$2,282.2","(None)"
"1 - Bid option","Gaston","Kingdom Hearts HD 1.5 ReMIX","","$1,530.5","(None)"
"1 - Bid option","A Whole New World","Kingdom Hearts HD 1.5 ReMIX","","$1,472.3","(None)"
"1 - Bid option","Let it Go","Kingdom Hearts HD 1.5 ReMIX","","$1,269.5","(None)"
"1 - Bid option","Go the Distance","Kingdom Hearts HD 1.5 ReMIX","","$1,102.1","(None)"
"1 - Bid option","Under the Sea","Kingdom Hearts HD 1.5 ReMIX","","$1,059.1","(None)"
"1 - Bid option","I See the Light","Kingdom Hearts HD 1.5 ReMIX","","$150.0","(None)"
"0 - Donation Goal","Super Hardcore Difficulty","Super Time Force Ultra","","$1,000.00","$1,000.00"
"0 - Bid War","Any% or Pacifist","Iji","Choose to play Iji via Any% or Pacifist.","$991.68","(None)"
"1 - Bid option","Pacifist","Iji","","$811.0","(None)"
"1 - Bid option","Any%","Iji","","$180.6","(None)"
"0 - Donation Goal","Hero Core 100%","Hero Core","","$1,000.52","$1,000.00"
"0 - Bid War","Drawing %","A Hat In Time (Beta)","During the last level, you are given a canvas with Hat Kid&#39;s face on it and 11 colors to use. Decide something for me to draw on the canvas.","$562.89","(None)"
"1 - Bid option","SpikeVegeta","A Hat In Time (Beta)","","$221.2","(None)"
"1 - Bid option","Linkle","A Hat In Time (Beta)","","$126.0","(None)"
"1 - Bid option","TAY","A Hat In Time (Beta)","","$115.6","(None)"
"1 - Bid option","MD Boyz","A Hat In Time (Beta)","","$55.0","(None)"
"1 - Bid option","King Roach","A Hat In Time (Beta)","","$20.0","(None)"
"0 - Donation Goal","Hell Run","Spelunky","","$5,045.24","$5,000.00"
"0 - Donation Goal","Bonus Game - Crypt of the Necrodancer","Crypt of the Necrodancer","","$2,500.00","$2,500.00"
"0 - Bid War","Costume Option","Lara Croft and the Guardian of Light","Choose the costume for Lara Croft.","$280.00","(None)"
"1 - Bid option","Legend","Lara Croft and the Guardian of Light","","$205.0","(None)"
"1 - Bid option","Biker","Lara Croft and the Guardian of Light","","$75.0","(None)"
"1 - Bid option","Default","Lara Croft and the Guardian of Light","","$0.0","(None)"
"1 - Bid option","Doppleganger","Lara Croft and the Guardian of Light","","$0.0","(None)"
"1 - Bid option","Heavy Jungle","Lara Croft and the Guardian of Light","","$0.0","(None)"
"1 - Bid option","Jungle","Lara Croft and the Guardian of Light","","$0.0","(None)"
"0 - Bid War","Character choice","Vendetta","","$735.00","(None)"
"1 - Bid option","Hawk (Hulk Hogan)","Vendetta","","$680.0","(None)"
"1 - Bid option","Boomer (Jean Claude Van Damme)","Vendetta","","$50.0","(None)"
"1 - Bid option","Sledge (Mr. T)","Vendetta","","$5.0","(None)"
"1 - Bid option","Blood (Mike Tyson)","Vendetta","","$0.0","(None)"
"0 - Bid War","Character choice","Dungeons &amp; Dragons: Shadow Over Mystara","Character Choice Bid War (White or Blue Cleric).","$830.00","(None)"
"1 - Bid option","Greldon, the Blue Cleric","Dungeons &amp; Dragons: Shadow Over Mystara","","$700.0","(None)"
"1 - Bid option","Miles, the White Cleric","Dungeons &amp; Dragons: Shadow Over Mystara","","$130.0","(None)"
"0 - Donation Goal","Bonus Game - Super Metroid (2 player 1 controller)","Super Metroid BONUS","","$11,044.16","$10,000.00"
"0 - Bid War","Write a Twitch Emote","Half-Life 2","Write a twitch emote while waiting in prison_08 with the crowbar. Limit 10 characters.","$9,780.68","(None)"
"1 - Bid option","HeyGuys","Half-Life 2","","$8,758.0","(None)"
"1 - Bid option","Couches choice","Half-Life 2","","$244.0","(None)"
"1 - Bid option","FrankerZ","Half-Life 2","","$210.0","(None)"
"1 - Bid option","BionicBunion","Half-Life 2","","$184.0","(None)"
"1 - Bid option","gocLove","Half-Life 2","","$182.0","(None)"
"1 - Bid option","PJSalt","Half-Life 2","","$177.6","(None)"
"1 - Bid option","runner&#39;s choice","Half-Life 2","","$20.0","(None)"
"1 - Bid option","Idontknow","Half-Life 2","","$5.0","(None)"
"0 - Donation Goal","Chapter 6 DLC","Portal 2","","$3,022.83","$3,000.00"
"0 - Donation Goal","Road to Gehenna DLC","The Talos Principle","Must meet $1500 goal to run DLC. Choice between Any% or 100%.","$2,625.00","$1,500.00"
"1 - Bid option","100%","The Talos Principle","","$2,325.0","(None)"
"1 - Bid option","Any%","The Talos Principle","","$155.0","(None)"
"0 - Donation Goal","Pigflying Strategy Showcase","Amnesia: A Machine for Pigs","","$1,238.55","$1,200.00"
"0 - Donation Goal","All Chapters Run","Outlast","","$1,000.00","$1,000.00"
"0 - Donation Goal","Wheelchair to Heaven","Outlast","Glitch showcase","$810.00","$800.00"
"0 - Bid War","Character choice","Tony Hawk&#39;s Underground 2","","$1,572.55","(None)"
"1 - Bid option","Shrek","Tony Hawk&#39;s Underground 2","","$1,462.5","(None)"
"1 - Bid option","Goat","Tony Hawk&#39;s Underground 2","","$98.0","(None)"
"1 - Bid option","Original Skater","Tony Hawk&#39;s Underground 2","","$12.0","(None)"
"1 - Bid option","Skulls","Tony Hawk&#39;s Underground 2","","$0.0","(None)"
"0 - Donation Goal","100% Run","Tony Hawk&#39;s Pro Skater","","$2,010.88","$2,000.00"
"0 - Donation Goal","Let Tails Tag Along","Sonic Advance","","$1,982.50","$3,000.00"
"0 - Bid War","yoshi&#39;s","Ninja Gaiden III: The Ancient Ship of Doom","","$0.00","(None)"
"0 - Donation Goal","Blindfolded Turbo Tunnel","Battletoads","","$3,016.76","$3,000.00"
"0 - Donation Goal","Bonus Game - Super Mario Bros 3 (Any% no WW)","SETUP 4","","$6,238.66","$6,000.00"
"0 - Donation Goal","Mario Maker Hard Level race","Super Mario Maker","Just when you thought it was hard enough, lets give the runners more of a challenge!","$15,000.89","$15,000.00"
"0 - Bid War","Name an AGDQ race level!","Super Mario Maker","Name an AGDQ race level! Donations for the 32-character name for one of the levels that will be played during the race. The name will forever be immortalized on Nintendo&#39;s servers so it must be reasonably appropriate.","$2,542.05","(None)"
"1 - Bid option","The Kleptastrophe","Super Mario Maker","","$1,089.3","(None)"
"1 - Bid option","Bullet Bill The Animals","Super Mario Maker","","$293.9","(None)"
"1 - Bid option","You Can&#39;t Handle the Youth!","Super Mario Maker","","$232.0","(None)"
"1 - Bid option","UraniumAnchor&#39;s Cable Nightmare","Super Mario Maker","","$135.0","(None)"
"1 - Bid option","Game Over Yeeeaaaahhhh!","Super Mario Maker","","$132.0","(None)"
"1 - Bid option","Your Head&#39;s A Good Toilet","Super Mario Maker","","$130.0","(None)"
"1 - Bid option","TriHard&#39;s Fire Alarm Accordion","Super Mario Maker","","$120.0","(None)"
"1 - Bid option","Judderbean82","Super Mario Maker","","$95.0","(None)"
"1 - Bid option","Merkel&#39;s Mayhem","Super Mario Maker","","$75.0","(None)"
"1 - Bid option","Hi Mom","Super Mario Maker","","$45.0","(None)"
"1 - Bid option","KappaPride","Super Mario Maker","","$30.0","(None)"
"1 - Bid option","pizza","Super Mario Maker","","$30.0","(None)"
"1 - Bid option","Why Things Don&#39;t Fall Down","Super Mario Maker","","$28.0","(None)"
"1 - Bid option","AHHH! Them Goombas Don&#39;t Quit!","Super Mario Maker","","$25.0","(None)"
"1 - Bid option","Should&#39;ve Tele&#39;d Out","Super Mario Maker","","$6.7","(None)"
"0 - Bid War","Save or Kill the Yoshis","Super Mario Maker","Save or Kill the Yoshis. We&#39;ll have a yoshi (or cage full of many yoshis) at the end of one of the levels, and the players must either save them or dump them in the lava depending on which goal is met.","$17,179.58","(None)"
"1 - Bid option","Save the Yoshis","Super Mario Maker","","$9,424.4","(None)"
"1 - Bid option","Kill the Yoshis","Super Mario Maker","","$7,755.1","(None)"
"0 - Donation Goal","Bonus Game - Super Mario World 2, Yoshi&#39;s Island","SMW2: Yoshi&#39;s Island","","$8,001.21","$8,000.00"
"0 - Donation Goal","Save the Scientists","Alpha Zylon","Save the scientists in Alpha Zylon. They&#39;re pretty amazing.","$1,002.00","$1,000.00"
"0 - Bid War","Radio Station","Grand Theft Auto III","Choose the Radio station to listen to during the game.","$3,881.85","(None)"
"1 - Bid option","Chatterbox FM","Grand Theft Auto III","","$1,631.2","(None)"
"1 - Bid option","Double Clef FM","Grand Theft Auto III","","$1,436.7","(None)"
"1 - Bid option","Flashback 95.6","Grand Theft Auto III","","$205.3","(None)"
"1 - Bid option","Rise FM","Grand Theft Auto III","","$175.0","(None)"
"1 - Bid option","Game FM","Grand Theft Auto III","","$172.3","(None)"
"1 - Bid option","Secret Radio","Grand Theft Auto III","","$105.0","(None)"
"1 - Bid option","K-Jah","Grand Theft Auto III","","$90.2","(None)"
"1 - Bid option","Lips 106","Grand Theft Auto III","","$35.0","(None)"
"1 - Bid option","MSX FM","Grand Theft Auto III","","$26.0","(None)"
"1 - Bid option","Head Radio","Grand Theft Auto III","","$5.0","(None)"
"0 - Bid War","Filename","Castlevania III: Dracula&#39;s Curse","8 character filename that appears at the start and in the credits. Allows A-Z, !, ?, periods, and spaces.","$2,547.04","(None)"
"1 - Bid option","Bonjour!","Castlevania III: Dracula&#39;s Curse","","$1,225.0","(None)"
"1 - Bid option","yourself","Castlevania III: Dracula&#39;s Curse","","$636.3","(None)"
"1 - Bid option","Francis","Castlevania III: Dracula&#39;s Curse","","$300.0","(None)"
"1 - Bid option","Belmont!","Castlevania III: Dracula&#39;s Curse","","$126.6","(None)"
"1 - Bid option","PonkaPo!","Castlevania III: Dracula&#39;s Curse","","$55.0","(None)"
"1 - Bid option","TIS I!","Castlevania III: Dracula&#39;s Curse","","$10.0","(None)"
"1 - Bid option","Gashu","Castlevania III: Dracula&#39;s Curse","","$5.0","(None)"
"1 - Bid option","Prossess","Castlevania III: Dracula&#39;s Curse","","$5.0","(None)"
"0 - Donation Goal","Bonus Game - Castlevania: Symphony of the Night","Castlevania: Symphony of the Night","Richter all bosses","$7,522.41","$7,500.00"
"0 - Bid War","Filename","Super Punch-Out!!","File name for the run. This is 8 characters long and can use capital/lower case letters, numbers 0-9, and the following symbols: &#39; , . - : ? !","$2,442.55","(None)"
"1 - Bid option","Saitama","Super Punch-Out!!","","$1,391.3","(None)"
"1 - Bid option","JOHNCENA","Super Punch-Out!!","","$681.1","(None)"
"1 - Bid option","BUTTZ","Super Punch-Out!!","","$220.0","(None)"
"1 - Bid option","crab-f","Super Punch-Out!!","","$80.0","(None)"
"1 - Bid option","Wob","Super Punch-Out!!","","$70.0","(None)"
"0 - Donation Goal","Blindfolded Punch-Out!","Mike Tyson&#39;s Punch-Out!!","See these two titans in the ring race it out Blindfolded!!","$15,629.77","$15,000.00"
"0 - Donation Goal","3rd Person Cutscene Showcase","Mirror&#39;s Edge","Mirror&#39;s Edge is very much a game designed to be seen in 1st person and ONLY first person, and as such many of the in-chapter cutscenes look hilariously awful when forced into the 3rd person perspective. All cutscenes in the game are normally skipped, but are easily accessible through the chapter select menu. A selection of the best 3rd person cutscenes can be shown after the run, and the number can be adjusted depending on the amount of time available. The run itself would not change at all.","$5,043.00","$5,000.00"
"0 - Bid War","Bring Luigi to the party","Paper Mario","Does Luigi get to come to the party? Every run, Luigi gets to relax at home while Mario saves the day. Through a glitch/skip Mario can leave Luigi at home at the very end of the run when Mario heads to the party after he beats Bowser. Does he still deserve to party with Mario?","$8,675.01","(None)"
"1 - Bid option","Bring Luigi","Paper Mario","","$5,112.1","(None)"
"1 - Bid option","Leave Luigi","Paper Mario","","$3,562.8","(None)"
"0 - Donation Goal","Mario gets a kiss from his secret love","Paper Mario","Mario gets a kiss from his secret love. Mario normally receives a kiss from bombette in Chapter 7 for guessing who the real bombette is. Through a glitch, I can change who kisses mario, which will be kooper since it looks the best.","$1,510.00","$1,500.00"
"0 - Donation Goal","Save Block Storage Glitch","Paper Mario","Save Block Storage Glitch demonstration after the run (possibly with Stryder7x). Paper Mario has some great glitches used in runs but even crazier glitches that are not very useful in runs, and this glitch is one of the best. Through the use of save block storage, the game state gets extremely distorted, preventing Mario from getting into encounters but more importantly storing actions such as using springs and pulleys. Once a few springs and pulleys are stored, the glitch can be cancelled, flinging Mario in a hilarious way, and ends with a softlock.","$3,039.00","$3,000.00"
"0 - Bid War","Character name - Boy","Secret of Mana","Character name for Boy, 6 characters each name, only upper case (Girl does NOT get named)","$4,120.51","(None)"
"1 - Bid option","Dzo","Secret of Mana","","$1,484.0","(None)"
"1 - Bid option","CHARA","Secret of Mana","","$1,280.5","(None)"
"1 - Bid option","HROMP","Secret of Mana","","$340.0","(None)"
"1 - Bid option","Beans","Secret of Mana","","$260.0","(None)"
"1 - Bid option","NCS","Secret of Mana","","$230.0","(None)"
"1 - Bid option","GOGOGO","Secret of Mana","","$105.0","(None)"
"1 - Bid option","Groomp","Secret of Mana","","$90.0","(None)"
"1 - Bid option","Kano","Secret of Mana","","$90.0","(None)"
"1 - Bid option","Gashu","Secret of Mana","","$76.0","(None)"
"1 - Bid option","Rhyss","Secret of Mana","","$30.0","(None)"
"1 - Bid option","Randi","Secret of Mana","","$25.0","(None)"
"1 - Bid option","Girl","Secret of Mana","","$15.0","(None)"
"1 - Bid option","GITGUD","Secret of Mana","","$5.0","(None)"
"1 - Bid option","HBOYRD","Secret of Mana","","$5.0","(None)"
"1 - Bid option","MODE 7","Secret of Mana","","$5.0","(None)"
"1 - Bid option","Kaorru","Secret of Mana","","$0.0","(None)"
"0 - Bid War","Character name - Sprite","Secret of Mana","Character name for Sprite, 6 characters each name, only upper case (Girl does NOT get named)","$1,338.36","(None)"
"1 - Bid option","FRISK","Secret of Mana","","$583.5","(None)"
"1 - Bid option","BORD","Secret of Mana","","$325.0","(None)"
"1 - Bid option","Moonin","Secret of Mana","","$158.4","(None)"
"1 - Bid option","PANGUR","Secret of Mana","","$100.0","(None)"
"1 - Bid option","Pancho","Secret of Mana","","$55.0","(None)"
"1 - Bid option","KWIKWI","Secret of Mana","","$40.0","(None)"
"1 - Bid option","7 UP","Secret of Mana","","$30.0","(None)"
"1 - Bid option","Popoi","Secret of Mana","","$25.0","(None)"
"1 - Bid option","Dan","Secret of Mana","","$15.0","(None)"
"1 - Bid option","CENA","Secret of Mana","","$1.4","(None)"
"1 - Bid option","Smol","Secret of Mana","","$0.0","(None)"
"0 - Donation Goal","Glitch Exhibition","Secret of Mana","Glitch exhibition. Secret of Mana is a well known game with a pretty ridiculous amount of whacky glitches and weirdness that can happen. I aim to show off as many weird and random things within 5 minutes as possible.","$4,010.00","$4,000.00"
"0 - Bid War","Character choice","Teenage Mutant Ninja Turtles IV: Turtles in Time","Pick player 2&#39;s character:","$1,178.09","(None)"
"1 - Bid option","Don","Teenage Mutant Ninja Turtles IV: Turtles in Time","","$651.1","(None)"
"1 - Bid option","Leo","Teenage Mutant Ninja Turtles IV: Turtles in Time","","$271.4","(None)"
"1 - Bid option","Mike","Teenage Mutant Ninja Turtles IV: Turtles in Time","","$255.5","(None)"
"0 - Donation Goal","Adria sound file edit","Diablo","Amongst Diablo runners it is common to edit adria&#39;s sound file. This adds no impact to the game other than potential comedic humor. Sound files are on average between 1-2 seconds in length, with the longer being cut off. Takes about ~5min to set up, can be done during Diablo setup.","$1,894.68","$5,000.00"
"1 - Bid option","Tuturu","Diablo","","$692.1","(None)"
"1 - Bid option","Moo","Diablo","","$530.0","(None)"
"1 - Bid option","Heh heh heh, thank you.","Diablo","","$381.5","(None)"
"1 - Bid option","Whacha buyin?","Diablo","","$165.0","(None)"
"1 - Bid option","FrankerZ","Diablo","","$60.0","(None)"
"1 - Bid option","Abandon your foolish quest","Diablo","","$41.0","(None)"
"1 - Bid option","Default","Diablo","","$25.0","(None)"
"1 - Bid option","Wee Wee Wee","Diablo","","$0.0","(None)"
"0 - Bid War","Character name","Diablo","The name will show up every time I add skill points to my character. On average I do this 3-5 times during the run. Names would be limited to a max of 15 characters","$4,561.80","(None)"
"1 - Bid option","Kanon","Diablo","","$2,119.2","(None)"
"1 - Bid option","ChrisWilson","Diablo","","$1,634.9","(None)"
"1 - Bid option","CheekyKingLou","Diablo","","$185.0","(None)"
"1 - Bid option","John Cena","Diablo","","$150.0","(None)"
"1 - Bid option","Bubbles","Diablo","","$100.0","(None)"
"1 - Bid option","TrentPinkney","Diablo","","$50.0","(None)"
"1 - Bid option","Gashu","Diablo","","$25.0","(None)"
"1 - Bid option","Jabe.","Diablo","","$17.6","(None)"
"1 - Bid option","Hoof_hearted","Diablo","","$10.0","(None)"
"1 - Bid option","NephalemFool","Diablo","","$10.0","(None)"
"0 - Donation Goal","Kill the Butcher","Diablo","All Diablo players remember the butcher, and the horrors he forced them through.","$3,000.00","$3,000.00"
"0 - Bid War","Character name","Diablo II: Lord of Destruction","Limit 15 characters.","$6,031.60","(None)"
"1 - Bid option","ChrisWilson","Diablo II: Lord of Destruction","","$4,422.9","(None)"
"1 - Bid option","Vani","Diablo II: Lord of Destruction","","$1,082.0","(None)"
"1 - Bid option","OldPaintyCanNed","Diablo II: Lord of Destruction","","$135.0","(None)"
"1 - Bid option","BlitzSchnitzel","Diablo II: Lord of Destruction","","$60.0","(None)"
"1 - Bid option","Mizu","Diablo II: Lord of Destruction","","$55.0","(None)"
"1 - Bid option","NotATrueEnding","Diablo II: Lord of Destruction","","$55.0","(None)"
"1 - Bid option","Tazmage","Diablo II: Lord of Destruction","","$50.0","(None)"
"1 - Bid option","TeoBetterThenMe","Diablo II: Lord of Destruction","","$45.0","(None)"
"1 - Bid option","GrafSchmerz","Diablo II: Lord of Destruction","","$26.6","(None)"
"1 - Bid option","Goobypls","Diablo II: Lord of Destruction","","$25.0","(None)"
"1 - Bid option","spende","Diablo II: Lord of Destruction","","$25.0","(None)"
"1 - Bid option","BoBaFeTT","Diablo II: Lord of Destruction","","$20.0","(None)"
"1 - Bid option","TeoShrineHype","Diablo II: Lord of Destruction","","$20.0","(None)"
"1 - Bid option","SiegeRhino","Diablo II: Lord of Destruction","","$10.0","(None)"
"0 - Bid War","Save or Leave Deckard Cain","Diablo II: Lord of Destruction","","$3,590.00","(None)"
"1 - Bid option","Save Deckard Cain","Diablo II: Lord of Destruction","","$2,647.0","(None)"
"1 - Bid option","Leave Deckard Cain","Diablo II: Lord of Destruction","","$943.0","(None)"
"0 - Donation Goal","Save the trapped Barbarians","Diablo II: Lord of Destruction","Save the trapped Barbarians in Act 5.","$3,560.01","$3,500.00"
"0 - Donation Goal","Secret Cow Level","Diablo II: Lord of Destruction","There is no Cow Level.","$12,507.00","$12,500.00"
"0 - Bid War","Character name - Charmander","Pok\xc3\xa9mon Yellow: Special Pikachu Edition","Rename Charmander. Limit 10 characters.","$3,714.80","(None)"
"1 - Bid option","john cena","Pok\xc3\xa9mon Yellow: Special Pikachu Edition","","$2,325.7","(None)"
"1 - Bid option","Agumon","Pok\xc3\xa9mon Yellow: Special Pikachu Edition","","$345.0","(None)"
"1 - Bid option","Smaug","Pok\xc3\xa9mon Yellow: Special Pikachu Edition","","$225.4","(None)"
"1 - Bid option","RANDPAUL","Pok\xc3\xa9mon Yellow: Special Pikachu Edition","","$110.0","(None)"
"1 - Bid option","Neokas","Pok\xc3\xa9mon Yellow: Special Pikachu Edition","","$100.0","(None)"
"1 - Bid option","Someone","Pok\xc3\xa9mon Yellow: Special Pikachu Edition","","$100.0","(None)"
"1 - Bid option","Weeto","Pok\xc3\xa9mon Yellow: Special Pikachu Edition","","$100.0","(None)"
"1 - Bid option","Bisashiggy","Pok\xc3\xa9mon Yellow: Special Pikachu Edition","","$85.0","(None)"
"1 - Bid option","Byrd","Pok\xc3\xa9mon Yellow: Special Pikachu Edition","","$75.0","(None)"
"1 - Bid option","Toast","Pok\xc3\xa9mon Yellow: Special Pikachu Edition","","$47.0","(None)"
"1 - Bid option","Grillby","Pok\xc3\xa9mon Yellow: Special Pikachu Edition","","$45.0","(None)"
"1 - Bid option","Wham","Pok\xc3\xa9mon Yellow: Special Pikachu Edition","","$40.0","(None)"
"1 - Bid option","Rafu","Pok\xc3\xa9mon Yellow: Special Pikachu Edition","","$5.0","(None)"
"0 - Bid War","Character name - Lapras","Pok\xc3\xa9mon Yellow: Special Pikachu Edition","Rename Lapras. Limit 10 characters.","$1,169.22","(None)"
"1 - Bid option","cthulhu","Pok\xc3\xa9mon Yellow: Special Pikachu Edition","","$505.0","(None)"
"1 - Bid option","Pooty","Pok\xc3\xa9mon Yellow: Special Pikachu Edition","","$183.0","(None)"
"1 - Bid option","randyorton","Pok\xc3\xa9mon Yellow: Special Pikachu Edition","","$180.0","(None)"
"1 - Bid option","JohnCena","Pok\xc3\xa9mon Yellow: Special Pikachu Edition","","$175.0","(None)"
"1 - Bid option","Rob","Pok\xc3\xa9mon Yellow: Special Pikachu Edition","","$55.0","(None)"
"1 - Bid option","Maestro","Pok\xc3\xa9mon Yellow: Special Pikachu Edition","","$40.0","(None)"
"1 - Bid option","Waterhorse","Pok\xc3\xa9mon Yellow: Special Pikachu Edition","","$20.0","(None)"
"1 - Bid option","Bork Laser","Pok\xc3\xa9mon Yellow: Special Pikachu Edition","","$10.0","(None)"
"1 - Bid option","ripperino","Pok\xc3\xa9mon Yellow: Special Pikachu Edition","","$0.0","(None)"
"0 - Bid War","Character name - Nidoran","Pok\xc3\xa9mon Yellow: Special Pikachu Edition","Rename Nidoran. Limit 10 characters.","$1,693.00","(None)"
"1 - Bid option","Smudy","Pok\xc3\xa9mon Yellow: Special Pikachu Edition","","$906.0","(None)"
"1 - Bid option","PPMD","Pok\xc3\xa9mon Yellow: Special Pikachu Edition","","$596.0","(None)"
"1 - Bid option","RocketBean","Pok\xc3\xa9mon Yellow: Special Pikachu Edition","","$55.0","(None)"
"1 - Bid option","Tricky","Pok\xc3\xa9mon Yellow: Special Pikachu Edition","","$40.0","(None)"
"1 - Bid option","Trogdor","Pok\xc3\xa9mon Yellow: Special Pikachu Edition","","$40.0","(None)"
"1 - Bid option","GodKappa","Pok\xc3\xa9mon Yellow: Special Pikachu Edition","","$6.0","(None)"
"0 - Bid War","Character name - Pidgey","Pok\xc3\xa9mon Yellow: Special Pikachu Edition","Rename Pidgey. Limit 10 characters.","$773.70","(None)"
"1 - Bid option","Bird Jesus","Pok\xc3\xa9mon Yellow: Special Pikachu Edition","","$602.5","(None)"
"1 - Bid option","KINGDEDEDE","Pok\xc3\xa9mon Yellow: Special Pikachu Edition","","$120.0","(None)"
"1 - Bid option","FlamingHat","Pok\xc3\xa9mon Yellow: Special Pikachu Edition","","$50.0","(None)"
"0 - Bid War","Character name - Rival","Pok\xc3\xa9mon Yellow: Special Pikachu Edition","Name the Rival in Pokemon Yellow. Limit 7 characters.","$2,704.96","(None)"
"1 - Bid option","Webedia","Pok\xc3\xa9mon Yellow: Special Pikachu Edition","","$1,025.0","(None)"
"1 - Bid option","Papyrus","Pok\xc3\xa9mon Yellow: Special Pikachu Edition","","$741.4","(None)"
"1 - Bid option","Sans","Pok\xc3\xa9mon Yellow: Special Pikachu Edition","","$205.0","(None)"
"1 - Bid option","kill the Animals","Pok\xc3\xa9mon Yellow: Special Pikachu Edition","","$195.0","(None)"
"1 - Bid option","Smogon","Pok\xc3\xa9mon Yellow: Special Pikachu Edition","","$188.5","(None)"
"1 - Bid option","Devil","Pok\xc3\xa9mon Yellow: Special Pikachu Edition","","$55.0","(None)"
"1 - Bid option","MyLover","Pok\xc3\xa9mon Yellow: Special Pikachu Edition","","$50.0","(None)"
