"Type","Incentive","Game","Description","Amount","Goal"
"0 - Bid War","Choose the Toad","Battletoads Arcade","Choose between Pimple, Rash, and Zitz. 90&#39;s attitude and Turbo Tunnel not required.","$3,974.47","(None)"
"1 - Bid option","Rash","Battletoads Arcade","","$1,640.0","(None)"
"1 - Bid option","Pimple","Battletoads Arcade","","$1,316.2","(None)"
"1 - Bid option","Zitz","Battletoads Arcade","","$1,018.2","(None)"
"0 - Donation Goal","Turbo Tunnel Blindfolded","Battletoads","If met, TheMexicanRunner will attempt to do the infamous Turbo Tunnel while blindfolded during his Battletoads run.","$10,010.06","$10,000.00"
"0 - Bid War","Suit vs Suitless","Metroid","Decide whether Samus will be suited or suitless for the Metroid run.","$5,517.94","(None)"
"1 - Bid option","Don&#39;t wear the Suit","Metroid","","$3,863.3","(None)"
"1 - Bid option","Wear the Chozo Suit","Metroid","","$1,654.6","(None)"
"0 - Donation Goal","Bonus Any% Run","Super Mario World 2: Yoshi&#39;s Island","If met, mt76907 will perform a bonus Any% run after the Super Mario World 2 race.","$10,123.00","$10,000.00"
"0 - Donation Goal","BONUS GAME: Superman 64","Superman 64","Replace SETUP BLOCK 2 with a Superman 64 Any% run (i.e no ring levels) by headstrong1290.","$30,322.30","$30,000.00"
"0 - Bid War","Choose the Fifth Relay Runner","Enviro-Bear 2000","Enviro-Bear 2000 is a relay race that has 5 levels, but only 4 runners. This is a problem. You decide who gets to run the unassigned level.","$10,448.86","(None)"
"1 - Bid option","Brossentia","Enviro-Bear 2000","","$5,810.0","(None)"
"1 - Bid option","authorblues","Enviro-Bear 2000","","$3,859.6","(None)"
"1 - Bid option","Keizaron","Enviro-Bear 2000","","$394.1","(None)"
"1 - Bid option","Linkums","Enviro-Bear 2000","","$385.0","(None)"
"0 - Donation Goal","All Bosses","Athena","If met, Brossentia and Dragondarch will kill every boss during their Athena race.","$5,100.00","$5,000.00"
"0 - Bid War","Name the Avatar","Ultima VI: The False Prophet","Choose the name given to the avatar (player character) for the Ultima VI run. 7 characters.","$5,709.10","(None)"
"1 - Bid option","Awa","Ultima VI: The False Prophet","","$2,525.0","(None)"
"1 - Bid option","Spoony","Ultima VI: The False Prophet","","$2,227.0","(None)"
"1 - Bid option","Steve","Ultima VI: The False Prophet","","$500.0","(None)"
"1 - Bid option","Veni","Ultima VI: The False Prophet","","$176.6","(None)"
"1 - Bid option","Dlorph","Ultima VI: The False Prophet","","$145.0","(None)"
"1 - Bid option","Aang","Ultima VI: The False Prophet","","$30.0","(None)"
"1 - Bid option","Gashu","Ultima VI: The False Prophet","","$25.0","(None)"
"1 - Bid option","fethers","Ultima VI: The False Prophet","","$20.0","(None)"
"1 - Bid option","Meow","Ultima VI: The False Prophet","","$20.0","(None)"
"1 - Bid option","Horse Egg","Ultima VI: The False Prophet","","$15.4","(None)"
"1 - Bid option","Da Wae","Ultima VI: The False Prophet","","$15.0","(None)"
"1 - Bid option","Hootey","Ultima VI: The False Prophet","","$10.0","(None)"
"0 - Donation Goal","Anger the Chicken God","Secret of Evermore","If met, MetaSigma will anger the Chicken God during the Secret of Evermore run. If you thought Zelda&#39;s cuccos were bad, wait until you see what happens here.","$7,516.43","$7,500.00"
"0 - Donation Goal","MetaSigma sings Lobotomy Chicken","Secret of Evermore","If met, MetaSigma will sing the Lobotomy Chicken song during the Secret of Evermore run.","$14,545.24","$20,000.00"
"0 - Bid War","Name the Boy","Secret of Evermore","Choose the name given to the Boy character for the Secret of Evermore run. 12 character limit.","$2,418.05","(None)"
"1 - Bid option","OBB","Secret of Evermore","","$912.0","(None)"
"1 - Bid option","Plasticallan","Secret of Evermore","","$351.0","(None)"
"1 - Bid option","ARBYS","Secret of Evermore","","$330.0","(None)"
"1 - Bid option","Bowie","Secret of Evermore","","$255.0","(None)"
"1 - Bid option","HuskOfCorn","Secret of Evermore","","$140.0","(None)"
"1 - Bid option","Kevin","Secret of Evermore","","$110.0","(None)"
"1 - Bid option","Taako","Secret of Evermore","","$75.0","(None)"
"1 - Bid option","CrAwEk","Secret of Evermore","","$50.0","(None)"
"1 - Bid option","Deak","Secret of Evermore","","$50.0","(None)"
"1 - Bid option","McRandFace","Secret of Evermore","","$50.0","(None)"
"1 - Bid option","Okada","Secret of Evermore","","$35.0","(None)"
"1 - Bid option","Brent","Secret of Evermore","","$30.0","(None)"
"1 - Bid option","Travolta","Secret of Evermore","","$20.0","(None)"
"1 - Bid option","Gashu","Secret of Evermore","","$5.0","(None)"
"1 - Bid option","PIG EGG","Secret of Evermore","","$5.0","(None)"
"0 - Bid War","Name the Dog","Secret of Evermore","Choose the name given to the Dog for the Secret of Evermore run. 12 character limit.","$11,291.01","(None)"
"1 - Bid option","LegDog","Secret of Evermore","","$3,392.6","(None)"
"1 - Bid option","PIG EGG","Secret of Evermore","","$2,786.0","(None)"
"1 - Bid option","GreggRulzOK","Secret of Evermore","","$1,720.6","(None)"
"1 - Bid option","GoodBoy","Secret of Evermore","","$1,215.0","(None)"
"1 - Bid option","Za Fooru","Secret of Evermore","","$515.0","(None)"
"1 - Bid option","Kitty","Secret of Evermore","","$323.0","(None)"
"1 - Bid option","Bert is fat","Secret of Evermore","","$261.6","(None)"
"1 - Bid option","Eran","Secret of Evermore","","$250.0","(None)"
"1 - Bid option","FrankerZ","Secret of Evermore","","$181.0","(None)"
"1 - Bid option","ARBYS","Secret of Evermore","","$130.0","(None)"
"1 - Bid option","Dinner","Secret of Evermore","","$85.0","(None)"
"1 - Bid option","Karl","Secret of Evermore","","$70.0","(None)"
"1 - Bid option","Ishii","Secret of Evermore","","$65.0","(None)"
"1 - Bid option","Rusty","Secret of Evermore","","$60.0","(None)"
"1 - Bid option","Dogmeat","Secret of Evermore","","$50.0","(None)"
"1 - Bid option","Lup","Secret of Evermore","","$50.0","(None)"
"1 - Bid option","Bowser","Secret of Evermore","","$46.0","(None)"
"1 - Bid option","Eevee","Secret of Evermore","","$45.0","(None)"
"1 - Bid option","GoodDogs","Secret of Evermore","","$25.0","(None)"
"1 - Bid option","Ruby","Secret of Evermore","","$10.0","(None)"
"1 - Bid option","Knuckles","Secret of Evermore","","$5.0","(None)"
"1 - Bid option","Phil"," Secret of Evermore","","$5.0","(None)"
"0 - Donation Goal","Bonus Brigmore Witches All Collectibles Run","Dishonored","If met, DrTChops will perform a bonus Brigmore Witches DLC All Collectibles run after the Dishonored run.","$12,667.84","$12,500.00"
"0 - Bid War","Save or Kill Sam the Boatman","Dishonored","Decide the fate of Sam the Boatman for the Dishonored run.","$3,351.09","(None)"
"1 - Bid option","Save Sam","Dishonored","","$2,449.0","(None)"
"1 - Bid option","Kill Sam","Dishonored","","$902.0","(None)"
"0 - Donation Goal","Bonus Episode 4 Run","Duke Nukem 3D","If met, Cubeface will run Episode 4 of Duke Nukem 3D after the Duke Nukem 3D Any% run.","$10,445.62","$10,000.00"
"0 - Donation Goal","Glitch Exhibition","Duke Nukem 3D","If met, Mr_Wiggelz will show off just how busted Duke Nukem 3D&#39;s build engine is.","$7,518.61","$7,500.00"
"0 - Donation Goal","Complete All Levels","Star Wars: Jedi Knight - Jedi Academy","If met, the three normally skipped levels will be completed during the Star Wars: Jedi Academy run.","$10,002.33","$10,000.00"
"0 - Bid War","Save or Kill Rosh","Star Wars: Jedi Knight - Jedi Academy","Decide the fate of Rosh during the Star Wars: Jedi Academy run.","$11,575.00","(None)"
"1 - Bid option","Dark Side Ending (aka Kill Rosh)","Star Wars: Jedi Knight - Jedi Academy","","$6,087.1","(None)"
"1 - Bid option","Light Side Ending (aka Save Rosh)","Star Wars: Jedi Knight - Jedi Academy","","$5,487.8","(None)"
"0 - Donation Goal","BONUS GAME: I wanna be the Boshy","I wanna be the Boshy","Replace SETUP BLOCK 3 with a 100% run of I wanna be the Boshy by BBF.","$37,593.17","$37,500.00"
"0 - Donation Goal","Fight the Kappa Boss","I wanna be the Boshy","If met, BBF will beat the Kappa boss after the I wanna be the Boshy run.","$7,675.30","$7,500.00"
"0 - Donation Goal","Kill Wilhelm the Frog","Ori and the Blind Forest: Definitive Edition","During the course of the Ori and the Blind Forest race, the runners will have the opportunity to punt a frog into the abyss. The frog is named Wilhelm for a reason.","$5,019.99","$5,000.00"
"0 - Donation Goal","All Bosses","Hyper Light Drifter","If met, the Hyper Light Drifter run category will change to an All Bosses run.","$7,792.22","$7,500.00"
"0 - Bid War","Choose the Filename","Hyper Light Drifter","Choose the Filename used for the Hyper Light Drifter run. 15 characters, no numbers.","$2,237.80","(None)"
"1 - Bid option","MultiTrackDrift","Hyper Light Drifter","","$1,439.4","(None)"
"1 - Bid option","Not Zero","Hyper Light Drifter","","$305.8","(None)"
"1 - Bid option","Lone Wanderer","Hyper Light Drifter","","$206.8","(None)"
"1 - Bid option","kffc","Hyper Light Drifter","","$180.8","(None)"
"1 - Bid option","@TCVass","Hyper Light Drifter","","$70.0","(None)"
"1 - Bid option","firW","Hyper Light Drifter","","$25.0","(None)"
"1 - Bid option","Tokyo","Hyper Light Drifter","","$10.0","(None)"
"0 - Donation Goal","Pet the Dog","Hyper Light Drifter","If met, we will Pet the Dog during the Hyper Light Drifter run. Pet that dog. Pet it.","$2,983.57","$2,500.00"
"0 - Bid War","Choose your Spelunker","Spelunky","Choose the character used for the Spelunky HD run.","$2,553.78","(None)"
"1 - Bid option","Blue","Spelunky","","$1,502.6","(None)"
"1 - Bid option","Spelunky Guy","Spelunky","","$531.0","(None)"
"1 - Bid option","Green","Spelunky","","$330.0","(None)"
"1 - Bid option","Red","Spelunky","","$190.0","(None)"
"0 - Donation Goal","Use the Secret Sloth Damsel","Spelunky","If met, the Secret Sloth Damsel will be used for the Spelunky HD run.","$5,012.57","$5,000.00"
"0 - Bid War","Choose Color Palette","Armed With Wings: Rearmed","Choose the Color Palette used for the Armed With Wings: Rearmed run.","$1,400.35","(None)"
"1 - Bid option","Blue","Armed With Wings: Rearmed","","$451.3","(None)"
"1 - Bid option","Purple","Armed With Wings: Rearmed","","$418.6","(None)"
"1 - Bid option","Aqua","Armed With Wings: Rearmed","","$352.0","(None)"
"1 - Bid option","Grayscale","Armed With Wings: Rearmed","","$140.8","(None)"
"1 - Bid option","Orange","Armed With Wings: Rearmed","","$15.8","(None)"
"1 - Bid option","Red","Armed With Wings: Rearmed","","$11.0","(None)"
"1 - Bid option","Yellow","Armed With Wings: Rearmed","","$10.8","(None)"
"0 - Donation Goal","Handcam","Armed With Wings: Rearmed","If met, we will rig up a handcam, so you can watch halfcoordinated destroy both Armed With Wings: Rearmed and TAIKER with just one hand.","$7,968.20","$7,500.00"
"0 - Donation Goal","Wear Cat Ears","TAIKER","If met, halfcoordinated, the couch commentators, and the player character in TAIKER will all wear adorable cat ears.","$4,020.30","$4,000.00"
"0 - Bid War","Mario vs Luigi","Super Mario Galaxy","Choose whether Mario or Luigi are used for the Super Mario Galaxy run.","$4,117.22","(None)"
"1 - Bid option","Luigi","Super Mario Galaxy","","$3,692.5","(None)"
"1 - Bid option","Mario","Super Mario Galaxy","","$424.7","(None)"
"0 - Donation Goal","Master Stages","Super Monkey Ball","If met, the Master Stages will also be completed during the Super Monkey Ball run.","$15,015.50","$15,000.00"
"0 - Donation Goal","BONUS GAME: TASBot vs Super Monkey Ball","TASBot vs Super Monkey Ball","Replace SETUP BLOCK 4 with a TASBot assisted Super Monkey Ball run.","$40,457.00","$40,000.00"
"0 - Donation Goal","TASBot breaks Super Monkey Ball physics","TASBot vs Super Monkey Ball","If the donation is met, we will have TASBot break all physics in the replay system of Super Monkey Ball.","$7,146.37","$7,000.00"
"0 - Bid War","Choose the Run Category","Kingdom Hearts: Birth by Sleep Final Mix HD","Choose the Run Category for the Kingdom Hearts: Birth by Sleep Final Mix HD run.","$15,735.56","(None)"
"1 - Bid option","Ventus Critical Level 1 Any%","Kingdom Hearts: Birth by Sleep Final Mix HD","","$7,746.6","(None)"
"1 - Bid option","Aqua Critical Level 1 Any%","Kingdom Hearts: Birth by Sleep Final Mix HD","","$7,211.9","(None)"
"1 - Bid option","Terra Beginner Any%","Kingdom Hearts: Birth by Sleep Final Mix HD","","$777.0","(None)"
"0 - Bid War","Boy vs Girl","Pokemon Black/White Version 2","Choose whether the Player Character is a boy or a girl for the Pok\xc3\xa9mon Black/White 2 run.","$3,041.14","(None)"
"1 - Bid option","Play as the Girl","Pokemon Black/White Version 2","","$2,845.3","(None)"
"1 - Bid option","Play as the Boy","Pokemon Black/White Version 2","","$195.8","(None)"
"0 - Bid War","Drilbur&#39;s Name","Pokemon Black/White Version 2","Choose the name given to the Drilbur/Excadrill used for the Pok\xc3\xa9mon Black/White 2 run. 10 characters.","$3,834.91","(None)"
"1 - Bid option","Kamina","Pokemon Black/White Version 2","","$1,110.0","(None)"
"1 - Bid option","Holy Moley","Pokemon Black/White Version 2","","$1,096.0","(None)"
"1 - Bid option","DirtySonic","Pokemon Black/White Version 2","","$411.0","(None)"
"1 - Bid option","THE CHAMP","Pokemon Black/White Version 2","","$257.3","(None)"
"1 - Bid option","Nebby","Pokemon Black/White Version 2","","$186.0","(None)"
"1 - Bid option","Knuckles","Pokemon Black/White Version 2","","$185.8","(None)"
"1 - Bid option","baby boy","Pokemon Black/White Version 2","","$157.1","(None)"
"1 - Bid option","John Wick","Pokemon Black/White Version 2","","$106.5","(None)"
"1 - Bid option","NotZoroark","Pokemon Black/White Version 2","","$75.0","(None)"
"1 - Bid option","Chobin","Pokemon Black/White Version 2","","$70.8","(None)"
"1 - Bid option","Dad","Pokemon Black/White Version 2","","$62.6","(None)"
"1 - Bid option","Pikachu","Pokemon Black/White Version 2","","$30.0","(None)"
"1 - Bid option","Trickster","Pokemon Black/White Version 2","","$30.0","(None)"
"1 - Bid option","dril","Pokemon Black/White Version 2","","$20.0","(None)"
"1 - Bid option","Dilburt","Pokemon Black/White Version 2","","$15.0","(None)"
"1 - Bid option","Mogra","Pokemon Black/White Version 2","","$11.8","(None)"
"1 - Bid option","Crafted","Pokemon Black/White Version 2","","$5.0","(None)"
"1 - Bid option","Morocco","Pokemon Black/White Version 2","","$5.0","(None)"
"0 - Bid War","Player Character&#39;s Name","Pokemon Black/White Version 2","Choose the name given to the Player Character for the Pok\xc3\xa9mon Black/White 2 run. 7 character limit.","$6,001.42","(None)"
"1 - Bid option","Oh no, I","Pokemon Black/White Version 2","","$3,684.0","(None)"
"1 - Bid option","GUZMA","Pokemon Black/White Version 2","","$824.3","(None)"
"1 - Bid option","failure","Pokemon Black/White Version 2","","$696.7","(None)"
"1 - Bid option","Gucci","Pokemon Black/White Version 2","","$296.3","(None)"
"1 - Bid option","Mango","Pokemon Black/White Version 2","","$109.2","(None)"
"1 - Bid option","Verdier","Pokemon Black/White Version 2","","$97.7","(None)"
"1 - Bid option","My Popo","Pokemon Black/White Version 2","","$90.8","(None)"
"1 - Bid option","Scottdog","Pokemon Black/White Version 2","","$57.2","(None)"
"1 - Bid option","Neal","Pokemon Black/White Version 2","","$50.0","(None)"
"1 - Bid option","haha","Pokemon Black/White Version 2","","$25.0","(None)"
"1 - Bid option","Flutter","Pokemon Black/White Version 2","","$22.2","(None)"
"1 - Bid option","Endykin","Pokemon Black/White Version 2","","$15.0","(None)"
"1 - Bid option","Ash","Pokemon Black/White Version 2","","$12.7","(None)"
"1 - Bid option","Mond","Pokemon Black/White Version 2","","$10.0","(None)"
"1 - Bid option","Taka","Pokemon Black/White Version 2","","$5.0","(None)"
"1 - Bid option","TANTOR","Pokemon Black/White Version 2","","$5.0","(None)"
"0 - Bid War","Rival&#39;s Name","Pokemon Black/White Version 2","Choose the name given to the Rival for the Pok\xc3\xa9mon Black/White 2 run. 7 character limit.","$4,966.83","(None)"
"1 - Bid option","Bees?","Pokemon Black/White Version 2","","$2,428.9","(None)"
"1 - Bid option","Jimbles","Pokemon Black/White Version 2","","$1,240.0","(None)"
"1 - Bid option","Dio","Pokemon Black/White Version 2","","$608.8","(None)"
"1 - Bid option","Monika","Pokemon Black/White Version 2","","$189.8","(None)"
"1 - Bid option","chat","Pokemon Black/White Version 2","","$121.5","(None)"
"1 - Bid option","Gladion","Pokemon Black/White Version 2","","$105.0","(None)"
"1 - Bid option","Vivec","Pokemon Black/White Version 2","","$87.2","(None)"
"1 - Bid option","TheBag","Pokemon Black/White Version 2","","$65.0","(None)"
"1 - Bid option","Gary","Pokemon Black/White Version 2","","$46.6","(None)"
"1 - Bid option","Malik","Pokemon Black/White Version 2","","$30.0","(None)"
"1 - Bid option","WHO","Pokemon Black/White Version 2","","$30.0","(None)"
"1 - Bid option","Armada","Pokemon Black/White Version 2","","$13.8","(None)"
"0 - Donation Goal","BONUS GAME: Mike Tyson&#39;s Punch-Out!! + Super Punch-Out!!","Mike Tyson&#39;s Punch-Out!! + Super Punch-Out!!","Replace SETUP BLOCK 5 with a 2 Games 1 Controller run of Mike Tyson&#39;s Punch-Out!! and Super Punch-Out!! by zallard1.","$76,196.08","$75,000.00"
"0 - Bid War","Choose the Filename","The Legend of Zelda: Ocarina of Time","Choose the Filename used for the Legend of Zelda: Ocarina of Time run. 8 character limit.","$29,059.88","(None)"
"1 - Bid option","my dude","The Legend of Zelda: Ocarina of Time","","$11,440.8","(None)"
"1 - Bid option","S N U G","The Legend of Zelda: Ocarina of Time","","$3,892.2","(None)"
"1 - Bid option","Lonk","The Legend of Zelda: Ocarina of Time","","$3,644.2","(None)"
"1 - Bid option","ClintS","The Legend of Zelda: Ocarina of Time","","$1,896.1","(None)"
"1 - Bid option","Bananas","The Legend of Zelda: Ocarina of Time","","$1,770.8","(None)"
"1 - Bid option","GirlLink","The Legend of Zelda: Ocarina of Time","","$730.2","(None)"
"1 - Bid option","Slurmp","The Legend of Zelda: Ocarina of Time","","$700.3","(None)"
"1 - Bid option","Iwata","The Legend of Zelda: Ocarina of Time","","$671.0","(None)"
"1 - Bid option","Zelda","The Legend of Zelda: Ocarina of Time","","$665.0","(None)"
"1 - Bid option","Bilbo","The Legend of Zelda: Ocarina of Time","","$553.4","(None)"
"1 - Bid option","Bort","The Legend of Zelda: Ocarina of Time","","$325.0","(None)"
"1 - Bid option","Senpai","The Legend of Zelda: Ocarina of Time","","$260.0","(None)"
"1 - Bid option","G.O.A.T.","The Legend of Zelda: Ocarina of Time","","$256.0","(None)"
"1 - Bid option","my boy","The Legend of Zelda: Ocarina of Time","","$245.0","(None)"
"1 - Bid option","Bitcoin","The Legend of Zelda: Ocarina of Time","","$238.8","(None)"
"1 - Bid option","BigBomBag","The Legend of Zelda: Ocarina of Time","","$226.0","(None)"
"1 - Bid option","Zeldaaaa","The Legend of Zelda: Ocarina of Time","","$200.0","(None)"
"1 - Bid option","spitty44","The Legend of Zelda: Ocarina of Time","","$190.0","(None)"
"1 - Bid option","Rock","The Legend of Zelda: Ocarina of Time","","$188.7","(None)"
"1 - Bid option","De Wae","The Legend of Zelda: Ocarina of Time","","$181.0","(None)"
"1 - Bid option","DOGE","The Legend of Zelda: Ocarina of Time","","$178.5","(None)"
"1 - Bid option","Narcissa","The Legend of Zelda: Ocarina of Time","","$150.6","(None)"
"1 - Bid option","Nobuyuki","The Legend of Zelda: Ocarina of Time","","$85.0","(None)"
"1 - Bid option","Chronotrigger","The Legend of Zelda: Ocarina of Time","","$60.0","(None)"
"1 - Bid option","SoSmooth","The Legend of Zelda: Ocarina of Time","","$60.0","(None)"
"1 - Bid option","Mouse","The Legend of Zelda: Ocarina of Time","","$45.0","(None)"
"1 - Bid option","Cosmo","The Legend of Zelda: Ocarina of Time","","$40.0","(None)"
"1 - Bid option","I say","The Legend of Zelda: Ocarina of Time","","$40.0","(None)"
"1 - Bid option","Zaldor","The Legend of Zelda: Ocarina of Time","","$40.0","(None)"
"1 - Bid option","Mr. 5K","The Legend of Zelda: Ocarina of Time","","$30.0","(None)"
"1 - Bid option","Rosella","The Legend of Zelda: Ocarina of Time","","$25.0","(None)"
"1 - Bid option","KLINK","The Legend of Zelda: Ocarina of Time","","$10.8","(None)"
"1 - Bid option","RunOgre","The Legend of Zelda: Ocarina of Time","","$10.0","(None)"
"1 - Bid option","SebLink","The Legend of Zelda: Ocarina of Time","","$10.0","(None)"
"0 - Donation Goal","Glitch Exhibition","The Legend of Zelda: Ocarina of Time","If met, ZFG will perform a Glitch Exhibition after the Legend of Zelda: Ocarina of Time run.","$25,101.02","$25,000.00"
"0 - Bid War","Choose the Language","Tintin in Tibet","Choose the language used for the Tintin in Tibet run.","$4,693.16","(None)"
"1 - Bid option","French","Tintin in Tibet","","$2,426.9","(None)"
"1 - Bid option","Swedish","Tintin in Tibet","","$854.5","(None)"
"1 - Bid option","German","Tintin in Tibet","","$721.4","(None)"
"1 - Bid option","English","Tintin in Tibet","","$344.0","(None)"
"1 - Bid option","Dutch","Tintin in Tibet","","$325.5","(None)"
"1 - Bid option","Italian","Tintin in Tibet","","$10.5","(None)"
"1 - Bid option","Spanish","Tintin in Tibet","","$10.0","(None)"
"0 - Donation Goal","Hard Difficulty","Tintin in Tibet","If met, the Tintin in Tibet run will be done on Hard difficulty.","$5,000.50","$5,000.00"
"0 - Bid War","Ashley vs Kaidan","Mass Effect","One of them has to die, one of them gets to live. You choose which one lives.","$13,344.73","(None)"
"1 - Bid option","Ashley","Mass Effect","","$7,242.5","(None)"
"1 - Bid option","Kaidan","Mass Effect","","$6,102.1","(None)"
"0 - Bid War","MaleShep vs FemShep","Mass Effect","Choose between playing as Male Shep or FemShep for the Mass Effect run.","$13,797.41","(None)"
"1 - Bid option","Play as FemShep","Mass Effect","","$10,483.8","(None)"
"1 - Bid option","Play as MaleShep","Mass Effect","","$3,313.6","(None)"
"0 - Bid War","Choose the Character Name","Diablo","Choose the name given to the player character during the Diablo run. 15 character limit.","$13,328.52","(None)"
"1 - Bid option","Oh Hi Mark","Diablo","","$4,062.9","(None)"
"1 - Bid option","RunnersChoice","Diablo","","$2,959.7","(None)"
"1 - Bid option","Beefaroni","Diablo","","$2,627.8","(None)"
"1 - Bid option","ChickenSoup","Diablo","","$1,395.4","(None)"
"1 - Bid option","ChrisWilson","Diablo","","$678.0","(None)"
"1 - Bid option","Jerry","Diablo","","$350.0","(None)"
"1 - Bid option","Beastmode","Diablo","","$250.5","(None)"
"1 - Bid option","Beeftank","Diablo","","$240.5","(None)"
"1 - Bid option","Wirt","Diablo","","$212.3","(None)"
"1 - Bid option","BexGGG","Diablo","","$170.0","(None)"
"1 - Bid option","Horse Egg","Diablo","","$110.2","(None)"
"1 - Bid option","Tifas-Revenge","Diablo","","$68.3","(None)"
"1 - Bid option","TidePodsAreGood","Diablo","","$55.7","(None)"
"1 - Bid option","Ladybird","Diablo","","$50.0","(None)"
"1 - Bid option","TrentPinkney","Diablo","","$35.5","(None)"
"1 - Bid option","At0mium","Diablo","","$20.0","(None)"
"1 - Bid option","John Doe","Diablo","","$20.0","(None)"
"1 - Bid option","Darbians choice","Diablo","","$11.1","(None)"
"1 - Bid option","Mallow","Diablo","","$10.0","(None)"
